obj_id,predicted_label
90001,2
90002,2
90003,2
90004,2
90005,2
90006,2
90007,2
90008,2
90009,2
90010,2
90011,2
90012,2
90013,2
90014,2
90015,2
90016,2
90017,2
90018,2
90019,2
90020,2
90021,2
90022,2
90023,2
90024,2
90025,2
90026,2
90027,2
90028,2
90029,2
90030,2
90031,2
90032,2
90033,2
90034,2
90035,2
90036,2
90037,2
90038,2
90039,2
90040,2
90041,2
90042,2
90043,2
90044,2
90045,2
90046,2
90047,2
90048,2
90049,2
90050,2
90051,2
90052,2
90053,2
90054,2
90055,2
90056,1
90057,2
90058,2
90059,2
90060,2
90061,2
90062,2
90063,2
90064,2
90065,1
90066,2
90067,2
90068,2
90069,2
90070,2
90071,2
90072,2
90073,2
90074,2
90075,2
90076,2
90077,2
90078,2
90079,2
90080,2
90081,2
90082,2
90083,2
90084,2
90085,2
90086,2
90087,2
90088,2
90089,2
90090,2
90091,2
90092,2
90093,2
90094,2
90095,2
90096,2
90097,2
90098,2
90099,2
90100,2
90101,2
90102,2
90103,2
90104,2
90105,2
90106,2
90107,2
90108,2
90109,2
90110,2
90111,2
90112,2
90113,2
90114,2
90115,2
90116,2
90117,2
90118,2
90119,2
90120,2
90121,2
90122,2
90123,2
90124,2
90125,2
90126,2
90127,2
90128,2
90129,2
90130,2
90131,2
90132,2
90133,2
90134,2
90135,2
90136,2
90137,2
90138,2
90139,2
90140,2
90141,2
90142,2
90143,2
90144,2
90145,2
90146,2
90147,2
90148,2
90149,2
90150,2
90151,2
90152,2
90153,2
90154,2
90155,2
90156,2
90157,2
90158,2
90159,2
90160,2
90161,2
90162,2
90163,2
90164,2
90165,2
90166,2
90167,2
90168,2
90169,2
90170,2
90171,2
90172,2
90173,2
90174,2
90175,2
90176,2
90177,2
90178,2
90179,2
90180,2
90181,2
90182,2
90183,2
90184,2
90185,2
90186,2
90187,2
90188,2
90189,2
90190,2
90191,2
90192,2
90193,2
90194,2
90195,2
90196,2
90197,2
90198,2
90199,2
90200,2
90201,2
90202,2
90203,2
90204,2
90205,2
90206,2
90207,2
90208,2
90209,2
90210,2
90211,2
90212,2
90213,2
90214,2
90215,2
90216,2
90217,2
90218,1
90219,2
90220,2
90221,2
90222,2
90223,2
90224,2
90225,2
90226,2
90227,2
90228,2
90229,2
90230,2
90231,2
90232,2
90233,2
90234,2
90235,2
90236,2
90237,2
90238,2
90239,2
90240,2
90241,2
90242,2
90243,2
90244,2
90245,2
90246,2
90247,2
90248,2
90249,2
90250,2
90251,2
90252,2
90253,2
90254,2
90255,2
90256,2
90257,2
90258,2
90259,2
90260,2
90261,2
90262,2
90263,2
90264,2
90265,2
90266,2
90267,2
90268,2
90269,2
90270,2
90271,2
90272,2
90273,2
90274,2
90275,2
90276,2
90277,2
90278,2
90279,2
90280,2
90281,2
90282,2
90283,2
90284,2
90285,2
90286,2
90287,2
90288,2
90289,2
90290,2
90291,2
90292,2
90293,2
90294,2
90295,2
90296,2
90297,2
90298,2
90299,2
90300,2
90301,2
90302,2
90303,2
90304,2
90305,2
90306,2
90307,2
90308,2
90309,2
90310,2
90311,2
90312,2
90313,2
90314,2
90315,2
90316,2
90317,2
90318,2
90319,2
90320,2
90321,2
90322,2
90323,2
90324,2
90325,2
90326,2
90327,2
90328,2
90329,2
90330,0
90331,2
90332,2
90333,2
90334,2
90335,2
90336,2
90337,2
90338,2
90339,2
90340,2
90341,2
90342,2
90343,2
90344,2
90345,2
90346,2
90347,2
90348,2
90349,2
90350,2
90351,2
90352,2
90353,2
90354,2
90355,2
90356,2
90357,2
90358,2
90359,2
90360,2
90361,2
90362,2
90363,2
90364,2
90365,2
90366,2
90367,2
90368,2
90369,2
90370,2
90371,2
90372,2
90373,2
90374,2
90375,2
90376,2
90377,2
90378,2
90379,2
90380,2
90381,2
90382,2
90383,2
90384,2
90385,2
90386,2
90387,2
90388,2
90389,2
90390,2
90391,2
90392,2
90393,2
90394,2
90395,2
90396,2
90397,2
90398,2
90399,2
90400,2
90401,2
90402,2
90403,2
90404,2
90405,2
90406,2
90407,2
90408,2
90409,2
90410,2
90411,2
90412,2
90413,2
90414,2
90415,2
90416,2
90417,2
90418,2
90419,2
90420,2
90421,2
90422,2
90423,2
90424,2
90425,2
90426,2
90427,2
90428,0
90429,2
90430,2
90431,0
90432,2
90433,2
90434,2
90435,2
90436,2
90437,2
90438,2
90439,2
90440,2
90441,2
90442,2
90443,2
90444,2
90445,2
90446,2
90447,2
90448,2
90449,2
90450,2
90451,2
90452,2
90453,2
90454,2
90455,2
90456,2
90457,2
90458,2
90459,2
90460,2
90461,2
90462,2
90463,2
90464,2
90465,2
90466,2
90467,2
90468,2
90469,2
90470,2
90471,2
90472,2
90473,2
90474,2
90475,2
90476,2
90477,2
90478,2
90479,2
90480,2
90481,2
90482,2
90483,2
90484,2
90485,2
90486,2
90487,2
90488,2
90489,2
90490,2
90491,2
90492,2
90493,2
90494,2
90495,2
90496,2
90497,2
90498,2
90499,2
90500,2
90501,2
90502,2
90503,2
90504,2
90505,2
90506,2
90507,2
90508,2
90509,2
90510,2
90511,2
90512,2
90513,2
90514,2
90515,2
90516,2
90517,2
90518,2
90519,2
90520,2
90521,2
90522,2
90523,2
90524,2
90525,2
90526,2
90527,2
90528,2
90529,2
90530,2
90531,2
90532,2
90533,2
90534,2
90535,2
90536,2
90537,2
90538,2
90539,2
90540,2
90541,2
90542,2
90543,2
90544,2
90545,2
90546,2
90547,2
90548,2
90549,2
90550,2
90551,2
90552,2
90553,2
90554,2
90555,2
90556,2
90557,2
90558,2
90559,2
90560,2
90561,2
90562,2
90563,2
90564,2
90565,2
90566,2
90567,2
90568,2
90569,2
90570,2
90571,2
90572,2
90573,2
90574,2
90575,2
90576,2
90577,2
90578,2
90579,2
90580,2
90581,2
90582,2
90583,2
90584,2
90585,2
90586,2
90587,2
90588,2
90589,2
90590,2
90591,2
90592,2
90593,2
90594,2
90595,2
90596,2
90597,2
90598,2
90599,2
90600,2
90601,2
90602,2
90603,2
90604,2
90605,2
90606,2
90607,2
90608,2
90609,2
90610,2
90611,2
90612,2
90613,2
90614,2
90615,2
90616,2
90617,2
90618,2
90619,2
90620,2
90621,2
90622,2
90623,2
90624,2
90625,2
90626,2
90627,2
90628,2
90629,2
90630,2
90631,2
90632,2
90633,2
90634,2
90635,2
90636,2
90637,2
90638,2
90639,2
90640,2
90641,2
90642,2
90643,2
90644,2
90645,2
90646,2
90647,2
90648,2
90649,2
90650,2
90651,2
90652,2
90653,2
90654,2
90655,2
90656,2
90657,2
90658,2
90659,2
90660,2
90661,2
90662,2
90663,2
90664,2
90665,2
90666,2
90667,2
90668,2
90669,2
90670,1
90671,2
90672,2
90673,2
90674,2
90675,2
90676,2
90677,2
90678,1
90679,2
90680,2
90681,2
90682,2
90683,2
90684,2
90685,1
90686,2
90687,2
90688,2
90689,2
90690,2
90691,2
90692,2
90693,2
90694,2
90695,2
90696,2
90697,2
90698,2
90699,2
90700,2
90701,2
90702,2
90703,2
90704,2
90705,2
90706,2
90707,2
90708,2
90709,2
90710,2
90711,2
90712,2
90713,2
90714,2
90715,2
90716,2
90717,2
90718,2
90719,2
90720,2
90721,2
90722,1
90723,2
90724,2
90725,2
90726,2
90727,2
90728,2
90729,2
90730,2
90731,2
90732,2
90733,2
90734,2
90735,2
90736,2
90737,2
90738,2
90739,2
90740,2
90741,2
90742,2
90743,2
90744,2
90745,2
90746,2
90747,2
90748,2
90749,2
90750,2
90751,2
90752,2
90753,2
90754,2
90755,2
90756,2
90757,2
90758,2
90759,2
90760,2
90761,2
90762,2
90763,2
90764,2
90765,2
90766,2
90767,2
90768,2
90769,2
90770,2
90771,2
90772,2
90773,2
90774,2
90775,2
90776,2
90777,2
90778,2
90779,2
90780,2
90781,2
90782,2
90783,2
90784,2
90785,2
90786,2
90787,2
90788,2
90789,2
90790,2
90791,2
